Deity,Temple Name,Moolavar,Urchavar,Amman / Thayar,Thala Virutcham,Theertham,Agamam / Pooja,Old year,Historical Name,City,District,State,Festival,  Temple's Speciality,Opening Time,Address,Phone Number
Amman,sri Bhagavati Amman temple,Bhagavati Amman,NA,NA,NA,NA,NA,2000 3000 years old,NA,Kumaranallur,Kottayam,Kerala,"10 day Karthikai festival in November December is grandly celebrated in the temple. The Aarattu puja is performed on the ninth day. It is said that Sri Vadakkunathar Himself visits the temple to see the puja. During the festivals only she elephants are engaged for processions. Other important festivals include Navarathri in September October, Panguni Pooram in March April. Special pujas are performed on the first days of Malayalam months, Tuesdays, Fridays and Kruthika star days.",This is one of the temples installed by Sage Parasurama in Kerala.,The temple is open from 4.00 a.m. to 11.30 a.m. and from 5.00 a.m. to 8.00 p.m.,"Sri Baghavati Amman Temple, Kumaranallur, Kottayam District, Kerala.",+91 481 231 2737
274 Sivalayam,sri Meenakshi Sundareswarar temple,"Sundareswarar, Chokkanathar",NA,"Mennakshi, Angayarkanni",Kadamba tree,"Pottramarai, Vaigai, Kruthamalai, Teppakulam, Purathotti",Karana Agamam,2000 3000 years old,"Alavai, Kudal, Nanmadakudal, Kadambavanam",Madurai,Madurai,Tamil Nadu,"Madurai Meenakshi: The famous Chithirai Tiruvizha in April May has many programmes as Wedding of Mother Meenakshi with Lord Shiva, Her Coronation and car festivals. Navarathri in September October, Aavani Moola festival in August September, Thai float festival in January February, Aadi Pooram in July August, Pongal in January February, Deepavali, Tamil and English New Year days, Vinayaka Chaturthi are other festivals. There are monthly special pujas also. Almost every day is a festival day in the temple.","Madurai Meenakshi: The Vimana in the shrine of Sundareswarar is gifted by Indira the King of Devas. He was on a pilgrimage to various Shiva temples to cleanse himself of a killing sin. His sins disappeared when he found a beautiful Swayambulinga in this place praised as Kadamba Vanam – a forest dense with Kadamba trees. It is said that as a token of his gratitude to Lord Shiva, he built this temple with Indira Vimana. This temple enjoys a special importance among the 51 Shakti Peetas in the country, named Rajamadhangi Shyamala Peetam. The idol of Mother Meenakshi is made of pure emerald stone – Maragatham stone. This is also the land of Sundaranandar, among the 18 Siddhas. This is the first temple among the 366 Shiva temples in Tamilnadu in the name of Meenakshi Sundareswar. The land Madurai  is revered as Kailash on earth –Bhooloka Kailasam. Chanting the very name of Madurai ensures salvation to the devotee. In his celebrated Meenakshi Amman Pillai Thamizh, Saint Kumaraguruparar, mentions this place as Dwadashantha Sthalam and Shiva Rajadhani, capital of Shiva Kingdom. Pottramarai Kulam – Tank of Golden Lotus: This was created by Lord Shiva by hitting the earth with His trident responding to the request of Nandhi and other Devas. This is first among the holy springs of the temple, also called Shiva Ganga. Indira got the golden lotus from here only for his Shiva puja. The devotee will achieve all his wishes if he/she has a dip in the tank especially on holy days as new moon day, first day of Tamil months and the eclipse day and worship the Lord. All the 64 incidents related to Lord Shiva’s grace to His devotees are painted on the walls around the tank. And this is the tank where the Sangam Seater (Sanga Palakai) appeared in recognition of the Tamil Veda the Tirukkural.",Madurai Meenakshi temple is open from 5.00 a.m. to 12.30 p.m. and from 4.00 p.m. to 10.00 p.m.,"Sri Meenakshi Sundareswarar Temple, Madurai – 625 001.","+91  452 234 9868, 234 4360"
274 Sivalayam,sri Arunachaleswar temple,"Arunachaleswar, Annamalaiar",NA,"Abithagujambal, Unnamulayal",Magizha tree,Shivaganga,"Karana, Kameekam",1000 2000 years old,Tiruvannamalai,Tiruvannamalai,Tiruvannamalai,Tamil Nadu,"10 day Karthikai Brahmmotsavam and Karthikai Deepam in November December, Masi Maha Shivarathri in February March, Thai Mattu Pongal, Tiruvudal and Oonjal utsav falling almost on January 15 and monthly Brahmmotsavam are devotionally celebrated in the temple. Fire walking is observed on Aadi Pooram day in July August a ceremony not followed in any Shiva temple. Six time Puja (Aaru Kala Puja) is strictly followed in this temple as per Agama rules. On Masi Magam day in February March, Lord Annamalaiar visits a place called Palli Pattu for Theerthavari, an event that represents Lord’s performing the last rites for Vallala Maharaja to whom He was born a son earlier. Lord visits the temples in the surroundings on the 5th day of Thai month covering January February and grants darshan to devotees at Kalasapakkam on the Rathasapthami day. It is on this day the Car (rath) of Sun turns northward marking the beginning of Utharayana period covering six months from January February to June July. The 6 day wedding festival takes place on Panguni Uthiram in March April. Almost every day in the month is a festival day in the temple. Pradosha – 13th day of new moon or full moon is devotionally observed in the temple. Special pujas are performed on Deepavali, Pongal and Tamil and English New Year days.","The hill itself is Shiva Linga. This is a temple of great significance in South India. The very thought of this temple ensures total salvation to the soul. This is the place that would destroy the “I” arrogance. Mother Uma performed penance here going round the hill to claim the left part of Lord Shiva. Lord Shiva granted His darshan to mother in the form of Light Jyothi. This is the birth place of Saint Arunagiriar. Frustrated in life, when the Saint attempted to end himself, Lord Muruga protected him from death. Lord Muruga also made him a poet whose Tirupugazh hymns stand unmatched till today in the meter forms, syllables, melody and spiritual content singing the glory of Lord Muruga. Tiruvannamalai is the sacred place where Ligodhbava came into being first and followed in other Shiva Temples. The temple covers an area of 25 acres with 9 towers and 9 corridors prakaras. The tower of the temple is the second tallest – 217 feet. The temple is always crowded with devotees as in Tirupathi. The temple was built in the 6th Century. The renovations of this ancient temple were done by Chera, Chola, Pandya and Vaisala kings at various periods. Tiruvannamalai was home to number of Siddhas in the past whose lineage continues even today. Their Holinesses Sri Seshadri Swamigal, Ramana Maharishi and Visiri Samiyar attained salvation on this sacred soil. Girivalam: Lord Shiva gave His Half to Mother Parvathi on the Kruthika star day in the month of Karthikai November December. Therefore, Girivalam – going round the hill – is taken up by the devotees this day. It is said that great Rishis and enlightened souls were following this as a penance on Pradosha days and on the first day each Tamil month. This is followed by devotees now a days. It is said that Moon absorbs all energies from Sun on Poornima days and therefore, this day is considered important for Girivalam. Of the five Shaktis on which Earth stands – Space, Water, Air, Earth and Fire the Agni, Tiruvannamalai belongs to Agni. Tuesday is attributed to Agni. Girivalam is undertaken on this day. There will be special pujas in the temple. Worshipping the Lord on Sundays bring high positions to the devotee equal to a posting in His court, Mondays elevate the devotee to a position equal to Indira, Tuesdays ensure relief from debt burdens and poverty and continued prosperity in the births following, Wednesdays for academic excellence and final salvation, Thursdays wisdom equal to Maharshis, Fridays grace of Lord Vishnu and a place in His abode and Saturdays the benefit of worshipping all the 9 planets. Worshipping on New Moon day brings total mental peace. Observing a fasting for 48 days and performing the Girivalam blesses the couple with child boon.",The temple is opened from 5.00 a.m. to 12.30 a.m. and 3.30 p.m. to 9.30 p.m.,"Sri Arunachaleswar Temple, Tiruvannamalai 606 601, Tiruvannamalai Dist.",+91 4175 252 438. 254 425
vinayagar,sri Malaikottai Uchipillayar temple,Uchipillayar,NA,NA,NA,Kavury,Sivagama,1000 2000 years old,thiruchirapalli,Trichy,Thiruchirapalli,Tamil Nadu,"15 days Chithirai (April May) car festival; 12 days Teppa Thiruvizha in Panguni (March April); Summer festival on the hills during Vaikasi (May June); Navarathri in Purattasi September October); Skanda Sashti in Aipasi (October November) 13 day Vinayaka Chaturthi festival and Adipooram 8 days festival in July August are the festivals very grandly celebrated in the temple. Also Tamil and English New Year days, Deepavali, Pongal days are devotionally observed with special Pujas.",This is hill cave temple,The temple is opened from 6.00 a.m. to 08.00 P.m.,"Sri Uchipillayar Temple, Trichy   620 001.","+91 431  270 4621, 270 0971, 271 0484."
Perumal,sri Vaikundavasa Perumal temple,Vaikundavasar,Bakthavatsalan,Kanakavalli,Vilwa and Neem,Lavakucha theertham,Vaikanasa Agama,500 years old,Kuchalavapuri,Koyambedu,Chennai,Tamil Nadu,"Brahmmotsavam in Aani (June July), 10 day Vaikasana festival in Aadi (July August), Lord wedding festival in Panguni Uthiram (March April), and special pujas on Tiruvonam star days are the festivals grandly celebrated in the temple.",The lord perumal in Standing position,The temple is open from 5.30 a.m. to 12.00 a.m. and 4.30 p.m. to 8.30 p.m,"Sri Vaikundavasa Perumal Temple,Koyambedu, Chennai","+91   44  2479 6237, 6569 9626."
Murugan,sri Balasubrahmanyar temple,"Balasubrahmanyar, Swaminatha Swami",NA,NA,Pipal tree,Kumara Theertham,Kaaranaagamam,500 years old,NA,"Kumaran Kunram, Chromepet",Chennai,Tamil Nadu,"Vaikasi Visaakam, Kanda sashti, Thai Poosam, Panguni Uthiram",NA,The temple is open from morning 6.30 to 11.00 and in the evening 4.30 to 8.30 pm.,"Arulmigu Balasubrahmanyar Tirukkoil, Kumaran Kunram, Chromepet, Chennai  600 044.","+91   44   2223 5319, 93805 10587."
sivan,sri Kacchaaleeswarar temple,Kacchaaleeswarar,NA,Azhagaambikai,Kalyaana Murunkai,Sivagangai Theertham,Shivagamam,500 1000 years old,NA,Parrys Corner,Chennai,Tamil Nadu,"Brahmotsavam in Chithirai, Maha Sivarathiri, Panguni Uthiram","In this holy place the ‘Navagrahas’ are in separate mandapam in standing posture. The Sun god at the center is with his wives, Usha and Ptratyusha. At the roof of the mandapam are sculpted the 12 zodiac signs, 27 stars, 60 years, the four yugas and the ashtadik baalakas (the angels of the eight sides). Those with planetary affliction, if they worship here, the misery will ward off. People celebrate their sixtieth birthday before these ‘Navagrahas’. The boosts up their longevity is the belief.",The temple is opened from 6.30 a.m. to 11.30 a.m. and 4.30 p.m. to 9.00 p.m.,"Sri Kachaleeswarar Temple, Parrys Corner   600 001, Chennai",+91  44   2522 7177
sivan,sri Ekaambareswarar temple,Ekaambareswarar,NA,Kamakshi,Mango tree,Kamba River,Kaamikam,500 1000 years old,NA,Sowcarpet,Chennai,Tamil Nadu,"18 days’ Brahmotsavam in Panguni, Sanippeyarchi (shifting of the planet Sani Saturn), Aadippooram, Panguni Uthiram","The Ambal of this holy place is in standing posture on the Aavudaiyar (the base of Lingam). She is the primary one here. Lord Siva through His Ardhanaareeswara form indicated that both the male and the female are equal. Similarly, the Goddess here standing on the Aavudaiyar points out that Shakti resides in Siva. Before Her feet is the ‘Sreechakra’.",The temple is open from 6.00 am to 12.00 noon and from 4.00 pm to night 9.30.,"Arulmigu Ekaambareswarar Tirukkoil, Sowcarpet, Chennai.","+91 44   2522 7177, 2535 2933"
Perumal,sri Prasanna Venkatesaperumal temple,Prasanna Venkatesar,Venkatesa Perumal,Alarmelumangai,NA,Varaha Pushkarini,Vaikanasa,500 years old,NA,Sowcarpet,Chennai,Tamil Nadu,"10 days Utayavar Utsavam in Chithirai, 10 days’ festival for Varadar in Vaikaasi, Aadip Pooram, Brahmotsavam in Purattaasi, Vaikunta Ekaadasi, Thirukkalyaanam on Panguni Uthiram day, Sri Rama Navami.",She Garuda Vehicle is used in this temple.,The temple is open from 7.00 a.m to 12.00 a.m. and 5.00 p.m. to 9.00 p.m.,"Arulmigu Prasanna Venkatesa Perumal Koil, Bairagi Matam, General Muthiah 6th Street, Sowcarpet, Chennai – 600 079.","+91 44  2538 2142, 2539 2869."
Navagraha,sri Dakshinamurthy Swami temple,Dakshinamurthy,NA,NA,NA,NA,Shivagama,500 years old,NA,Tiruvottriyur,Tiruvallur,Tamil Nadu,Chitra Poornima in April May and Jupiter transit days.,"This is a temple dedicated to Lord Dakshinamurthy facing north. Lord holds Agni (fire) in the right hand, serpent in the left, pressing Muyalagan the symbol f ignorance. Traditionally, only four Maharshis – Sanaka, Sanatana, Sananthana and Sanatkumarar are with the Lord. There are 18 Maharshis around the Lord in this temple, a rare form. There is an elephant worshipping near the Lord on the Peeta.","The temple is open from 6.00 a.m. to 11.00 a.m. and from 4.00 p.m. to 8.00 p.m. On Thursdays, the temple is open from 5.00 a.m. to 9.00 p.m. continuously.","Sri Dakshinamurthyswami Temple, Tiruvottriyur, Chennai 600 019.",+91  98407 97878.
sivan,sri Theerthapaleeswarar temple,Theerthapaleeswarar,NA,Maha Tripurasundari,Vanni,Sea water,NA,500 1000 years old,NA,Tiruvallikeni,Chennai,Tamil Nadu,Masi theerthavari and Shivrathri in February March and Aadipooram in July August.,Sun God worships Lord Shiva in the temple spreading his rays on Shivrathri day.,The temple is open from 6.00 a.m. to 11.00 a.m. and from 5.00 p.m. to 9.00 p.m.,"Sri Theertha Paleeswarar Temple, Tiruvallikeni, Chennai.",+91 44   2844 4054
Amman,sri Mundaka Kanniamman temple,Mundaka Kanniamman,NA,NA,Banyan Tree,NA,NA,500 1000 years old,Mayilapuri,Mylapore,Chennai,Tamil Nadu,"The whole of Aadi and Thai months, chithra pournami, Navarathiri, Aaadi pooram","Generally ‘Annaabishekam’ is performed to Lord Siva on the Aippasi Full Moon day. But, it is quite significant that ‘Annaabishekam’ is performed to Amman in this sacred place.",The temple is open from 6.00 AM to 12.00 noon and in the evening from 4.00 to 9.00.,"Arulmigy Mundaka Kanniamman Torikkoil, Mylapore, Chennai – 600004.","+91  44   2498 1893, 2498 6583."
sivan,sri Dhenupureeswarar temple,Dhenupureeswarar,Somaskanthar,Dhenukambal,Vilwa,Kapila teertham,shivagamam,1000 2000 years old,Madaiyampathi,Madambakkam,Chennai,Tamil Nadu,Brahmmotsavam in Chithirai (April May) and Panguni Uthiram boat festival (Teppam) are celebrated in the temple.,The Shivalinga is too tiny in size of just about 6 inches tall and three finger size bottom.,The temple is open from 6.00 a.m. to 12.00 a.m. and 5.00 p.m. to 8.30 p.m.,"Sri Dhenupureeswarar Temple, Madambakkam, Chennai.","+91  44  2228 0424, 93826 77442, 99411 49916."
Perumal,sri Madhavapperumal temple,Madhavapperumal,Aravinda Madhavan,Amirthavalli,Punnai (Mast Wood tree),Santhaana Pushkarini,Vaikaanasam,500 years old,Madhavapuram,Mylapore,Chennai,Tamil Nadu,"Brahmotsavam during Chithirai month, Aadippooram, Navarathiri, Float festival in Maasi month, Ramanavami, Tirukkalyaanam (Holy Marriage) on Panguni Uthiram.","This holy place is called, “the place without the kali curse”.",The temple is open from 6.30 AM to 11.00 AM and in the evening from 4.30 to 9.00.,"The Administrative Officer, Arulmigu Madhavapperumal Tirukkoil, Mylapore, Chennai – 600 004.","+91  44 2498 5112, 2466 2039, 94440 18239."
Perumal,sri Aaadi Kesavaperumal temple,Aaadi Kesavaperumal,Aadi Kesavar,Mayuravalli,Pipal tree,Chandra Pushkarini (Sarva Theertham),Vaikaanasam,500 1000 years old,Mayurapuri,Mylapore,Chennai,Tamil Nadu,"Brahmotsavam in Panguni, Divine Marriage (Tirukkalyaanam) on Panguni Uthiram, Navarathiri, Float Festival (Teppam) on Thai New Moon (amaavaasai)",Birth place of Peyaalvaar,The temple is open from 6.30 AM to 11.00 AM and in the evening from 5.00 to 8.30.,"Arulmigu Aadi Kesava Perumal Peyaalvaar Devasthaanam,, Mylapore, Chennai – 600 004.","+91 44 2464 3873, 2494 3873, 94440 35591."
Perumal,sri Prasanna Venkatesa Narasimha Perumal temple,Prasanna Venkatesa Narasimhar,Venkatesa Narasimhar,Alarmelmangai,NA,Raghu Theertham,Vaikaanasam,500 years old,Raghunaathapuram,West Saidapet,Chennai,Tamil Nadu,"10 days Brahmotsavam during Chithirai, ‘Annakkodi’ festival in Aavani, Vaikunta Ekadasi, Ratha Sapthami, Tirukkalyaanam in Panguni Uthiram.",NA,The temple is open from 6.00 am to 11 00 am and from 5.00 pm to 9.00 pm.,"Administrative Office, Arulmigu Prasanna Venkatesa Narasimha Perumal Tirukkoil , West Saidapet, Chennai – 600015.",+91  93811 63501
sivan,sri Tiruvetteeswarar temple,Tiruvetteeswarar,Somaskandar,Shenbagambikai,Shenbagam,Shenbaga Theertham,Kameekam,500 1000 years old,NA,Tiruvallikeni,Chennai,Tamil Nadu,"Chithirai Brahmmotsavam in April May, Vaiakasi Visakam in May June, Purattasi Mahalaya Amavasya in September October. Masi Magam Theerthavari and Shivrathari in February March and Panguni Uthiram in March April are the festivals celebrated in the temple.","The temple assumes importance as a sacred place for remedy from the adverse aspects of planets Rahu and Ketu. The temple has three flag posts Kodi Maram for Lord Shiva, Lord Shanmuga and Mother Ambica. It is said that Mother Mahalakshmi worshipped Lord Shiva here to have the Hand of Lord Vishnu. Supporting this story, Mother Mahalakshmi is seen performing abishek to Lord Shiva depicted in a pillar sculpture. Mothers Mahalakshmi and Maha Saraswathi are seen side by side in a shrine. Lord Vinayaka has a separate shrine where devotees light lamps with coconut oil and coconut garlands. Lord Shanmugha graces from a separate shrine on the peacock vehicle. On every Sashti day – 6th day of either new moon or full moon days – pujas are conducted in the shrine with six flowers, six nivedhanas, six fruits by six priests performing the ‘Shatru Samhara Trisadha’ puja, a special event in the temple.",The temple is open from 6.00 a.m. to 11.00 p.m. and from 5.00 p.m. to 9.30 p.m.,"Sri Turuvetteeswarar Temple, Tiruvallikeni, Chennai – 600 005.","+91 44  2841 8383, 2851 1228."
Perumal,sri Kalyana Varadaraja Perumal temple,Kalyana Varadaraja Perumal,Pavala Vannar,Perundevi,Maghizham,NA,Vaikanasam,500 years old,Padmapuram,Tiruvottriyur,Chennai,Tamil Nadu,"!0 day Acharya Sri Ramanuja Vizha in Chithirai (April May), Vaikasi Brahmmotsava in May June, Krishna Jayanthi in August September, Masi Magam in February March and Panguni Uthiram in March April are the festivals of the temple.",Mother Perundevi graces from a shrine left that of the Lord. There is a separate shrine for Navagrahas nine planets. All the planets are installed on a stage designed as lotus petal.,The temple is open from 7.00 a.m. to 11.00 a.m. and from 5.00 p.m. to 8.30 p.m.,"Sri Kalyana Varadaraja Perumal Temple, Kaladipettai, Chennai – 600 019.",+91  99401 73559.
Murugan,sri Balasubrahmanyar temple,Balasubrahmanyar,NA,NA,NA,NA,NA,500 years old,NA,"Siruvapuri, Chinnampedu",Tiruvallur,Tamil Nadu,NA,NA,NA,"Arulmigu Balasubrahmanyswamy Tirukkoil, Siruvapuri, Chennai.","+91  44 2471 2173, 94442 80595, 94441 71529"
sivan,sri Amaneeswarar temple,Amaneeswarar,NA,"Parvathi, Ganga",Neem (Vembu),Ganga,NA,500 1000 years old,NA,Devambadi Valasu,Coimbatore,Tamil Nadu,Maha shivarathiri,Worshipping Lord Shiva with Mothers Parvathi and Ganga ensures the devotees with multiple benefits. The other significance is the neem (Vembu in Tamil) being the sacred tree of the temple which is generally attributed to Shakti temples only.,The temple is open from 6.00 a.m. to 12.00 a.m. and from 4.00 p.m. to 7.00 p.m.,"Sri Amaneeswarar Temple, Devambadi Valasu, Coimbatore Dist.","+91  4259   290 932, 98437 17101"
sivan,sri Nanjundeswarar temple,Nanjundeswarar,Paradosha Nayanar,Lokanayaki,Vilwa,Theppam,Shivagama,500 1000 years old,NA,Karamadai,Coimbatore,Tamil Nadu,"Shivarathri in Vaikasi (May June), Annabishekam in Aipasi (October November) are the festivals celebrated in the temple.","The Shivalinga in the temple is flat while generally it is of a curved shape in other temples. The other speciality is, the Linga is red in colour. Besides the usual Avudayar holding the Shivalinga known as Paradhana Avudayar, there is also a carving of another Avudayar on the floor. This is a rare formation. As in the Madurai Meenakshi temple, 8 elephants are holding the Vimana – tower around the Shiva shrine in the temple. Lord Brahmma appears under one elephant and Lord Lakshminarayana below the other. As Lord Shiva consumed the poison at the dusk time called Pradosha time, special puja is performed at this time. Those affected with poison problems, pray to the Lord on Pradosha days (13th day either from full moon or New Moon day) and also any day – dusk time for cure.",The temple is opened from 6.00 a.m. to 12.00 a.m. and 4.00 p.m. to 8.30 p.m. On the New Moon days (Amavasya) the temple is open throughout the day.,"Sri Nanjundeswarar Temple,Karamadai – 641 104, Mettupalayam Taluk, Coimbatore dist.","+91 4254 272 318, 273 018, 94420 16192."
